Species,Date Collected,Plot Number,Sex,Weight (g),Scale calibrated?
DM,1/8/78,4,F,37,yes
DM,1/8/78,4,F,48,yes
DM,1/8/78,4,M,#N/A,#N/A
DM,7/16/13,2,F,#N/A,#N/A
DM,7/16/13,7,M,33,yes
DM,7/16/13,3,M,#N/A,#N/A
DM,7/16/13,1,M,#N/A,#N/A
DM,7/18/13,3,M,40,yes
DM,7/18/13,7,M,48,yes
DM,7/18/13,4,F,29,yes
DM,7/18/13,6,F,37,yes
DM,1/8/14,2,M,44,yes
DM,1/8/14,2,M,45,yes
DM,1/9/14,1,M,40,yes
DM,1/9/14,1,F,36,yes
DM,2/8/14,2,M,52,yes
DM,3/13/14,1,F,51,yes
DM,3/13/14,1,F,44,yes
DO,1/8/78,4,M,52,yes
DO,8/19/13,8,F,52,yes
DO,10/17/13,3,F,33,yes
DO,10/17/13,3,F,50,yes
DO,12/10/13,9,F,40,yes
DO,12/10/13,1,M,45,yes
DO,12/11/13,8,F,41,yes
OL,1/8/78,4,M,35,yes
DS,11/12/13,9,F,117,yes
DS,11/13/13,11,F,126,yes
DS,11/13/13,17,M,132,no
DS,11/13/13,14,F,113,no
DS,11/13/13,11,F,122,yes
DS,11/13/13,4,F,107,yes
DS,11/13/13,4,F,115,yes
DS,1/8/14,2,M,157,no
DS,3/13/14,1,F,146,yes
NA,1/8/14,#N/A,#N/A,#N/A,#N/A
NA,2/18/14,2,M,218,no
NA,4/8/15,3,F,#N/A,#N/A
NA,5/18/15,3,F,182,yes
NA,7/8/15,3,F,115,yes
NA,7/8/15,3,M,190,yes
OT,1/8/14,#N/A,#N/A,#N/A,#N/A
OT,6/9/15,3,F,29,yes
PF,1/8/14,2,F,7,yes
PF,2/18/14,2,F,7,yes
PF,3/11/15,3,M,8,yes
OX,1/8/14,#N/A,#N/A,#N/A,#N/A